Role,Skills
Frontend Developer,"React, JavaScript, HTML, CSS, Redux, Vue.js, Angular, TypeScript"
Backend Developer,"Node.js, Express, MongoDB, Python, SQL, Django, PostgreSQL, Java, Spring Boot"
Data Scientist,"Python, Pandas, NumPy, Scikit-learn, Machine Learning, SQL, TensorFlow, Data Analysis"
Mobile Developer,"React Native, JavaScript, Flutter, Dart, Swift, iOS, Kotlin, Android"
DevOps Engineer,"Docker, Kubernetes, Jenkins, CI/CD, Linux, AWS, Git, Shell Scripting"
Frontend Developer,"HTML, CSS, JavaScript, SASS, Bootstrap, jQuery, React, Webpack"
Backend Developer,"PHP, Laravel, MySQL, Node.js, Express, Redis, SQL, Docker"
Data Scientist,"R, Statistics, Python, NumPy, Matplotlib, Seaborn, Tableau, Machine Learning"
Mobile Developer,"Ionic, Cordova, JavaScript, HTML, CSS, React Native, Firebase"
DevOps Engineer,"Terraform, Ansible, AWS, Azure, GCP, Jenkins, CI/CD, Docker"
Frontend Developer,"React, Next.js, Tailwind CSS, JavaScript, TypeScript, HTML, CSS"
Backend Developer,"Go, PostgreSQL, Redis, Docker, Kubernetes, SQL, Microservices"
Data Scientist,"Python, PyTorch, Deep Learning, Natural Language Processing, Computer Vision, Pandas"
Mobile Developer,"Swift, SwiftUI, iOS, Xcode, Objective-C, JavaScript, React Native"
DevOps Engineer,"Prometheus, Grafana, ELK Stack, Nagios, Linux, Shell Scripting, Jenkins"
Frontend Developer,"React, Redux, JavaScript, Jest, Enzyme, HTML, CSS"
Backend Developer,"Java, Spring Boot, Hibernate, MySQL, SQL, REST API, Maven"
Data Scientist,"SQL, PowerBI, Excel, Python, Pandas, NumPy, Statistics"
Mobile Developer,"Kotlin, Android Studio, Android SDK, Java, Firebase, MVVM"
DevOps Engineer,"CircleCI, GitHub Actions, CI/CD, Docker, Kubernetes, Ansible"
